Courses List for Exchange-in students_Sem 1 of 2025-2026,,,,,,,,,,,,
"Sorted by Offering Unit, Offering Programme & Course Code",,,,,,,,,,as of 20250520,,
"Offering
Unit","Offering
Programme",Course Code,Course Name,"Units
(Credits)",Teachers,Schedule,Hours,"Course
Category",Medium of Instruction (MOI),Remark,,
FBM,ACCT,ACCT3013,Cost and Management Accounting II (1001),3,Dr. Wing Sun LI,Mon 15:00-16:50,2,ME,English,,,
FBM,ACCT,ACCT3013,Cost and Management Accounting II (1001),3,Dr. Wing Sun LI,Mon 14:00-14:50,1,ME,English,,,gcap
FBM,ACCT,ACCT3013,Cost and Management Accounting II (1002),3,Dr. Muhammad Atif Khan ACHAKZAI,Mon 15:00-16:50,2,ME,English,,,
FBM,ACCT,ACCT3013,Cost and Management Accounting II (1002),3,Dr. Muhammad Atif Khan ACHAKZAI,Thu 11:00-11:50,1,ME,English,,,
FBM,ACCT,ACCT3013,Cost and Management Accounting II (1003),3,Dr. Muhammad Atif Khan ACHAKZAI,Wed 9:00-10:50,2,ME,English,,,
FBM,ACCT,ACCT3013,Cost and Management Accounting II (1003),3,Dr. Muhammad Atif Khan ACHAKZAI,Tue 14:00-14:50,1,ME,English,,,
FBM,ACCT,ACCT3013,Cost and Management Accounting II (1004),3,Dr. Muhammad Atif Khan ACHAKZAI,Tue 10:00-11:50,2,ME,English,,,
FBM,ACCT,ACCT3013,Cost and Management Accounting II (1004),3,Dr. Muhammad Atif Khan ACHAKZAI,Wed 13:00-13:50,1,ME,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1001),3,ACCT New Teacher 2,Wed 8:00-9:50,2,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1001),3,ACCT New Teacher 2,Tue 17:00-17:50,1,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1002),3,ACCT New Teacher 2,Thu 8:00-9:50,2,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1002),3,ACCT New Teacher 2,Mon 9:00-9:50,1,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1003),3,Ms. Charlotte Suk Fun LO,Fri 15:00-16:50,2,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1003),3,Ms. Charlotte Suk Fun LO,Thu 17:00-17:50,1,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1004),3,Dr. Chi Ho John TANG,Thu 15:00-16:50,2,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1004),3,Dr. Chi Ho John TANG,Fri 13:00-13:50,1,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1005),3,Ms. Charlotte Suk Fun LO,Tue 15:00-16:50,2,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1005),3,Ms. Charlotte Suk Fun LO,Mon 16:00-16:50,1,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1006),3,Dr. Michael Yuen Hon SO,Mon 16:00-17:50,2,MR,English,,,
FBM,ACCT,ACCT3023,Hong Kong Taxation (1006),3,Dr. Michael Yuen Hon SO,Wed 10:00-10:50,1,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1001),3,Dr. Po-Shu AU,Fri 14:00-15:50,2,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1001),3,Dr. Po-Shu AU,Tue 11:00-11:50,1,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1002),3,Mr. Donald Kwong Fuk CHAN,Wed 10:00-11:50,2,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1002),3,Mr. Donald Kwong Fuk CHAN,Tue 11:00-11:50,1,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1003),3,Mr. Donald Kwong Fuk CHAN,Fri 13:00-14:50,2,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1003),3,Mr. Donald Kwong Fuk CHAN,Mon 10:00-10:50,1,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1004),3,Dr. Sun LIU,Tue 14:00-15:50,2,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1004),3,Dr. Sun LIU,Mon 10:00-10:50,1,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1005),3,Mr. Robert Yick Tak CHAN,Wed 9:00-10:50,2,MR,English,,,
